study,QA1_aims,QA2_mechanism_defined,QA3_ablation,QA4_repro,QA5_faithfulness,QA6_correction,QA7_family_scope,QA8_threats
DOS: Dependency-Oriented Sampler for Masked Diffusion Language Models,1,1,1,1,0,0,0.5,0.5
Relaxing Positional Alignment in Masked Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
IDLM: Inverse-distilled Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
$\textit{Jump Your Steps}$: Optimizing Sampling Schedule of Discrete Diffusion Models,1,1,1,1,0,1,0.5,0.5
Diffusion-State Policy Optimization for Masked Diffusion Language Models,1,1,0.5,1,0,0,1,0.5
Time-Annealed Perturbation Sampling: Diverse Generation for Diffusion Language Models,1,1,1,1,0,0,0,0.5
One Token Is Enough: Improving Diffusion Language Models with a Sink Token,1,1,0.5,1,0,0,0,0.5
Activation Steering for Masked Diffusion Language Models,1,1,1,0.5,0,0,1,0.5
OmniVoice: Towards Omnilingual Zero-Shot Text-to-Speech with Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
Edit-Based Refinement for Parallel Masked Diffusion Language Models,1,1,0.5,1,0,1,0.5,0.5
Just on Time: Token-Level Early Stopping for Diffusion Language Models,1,1,1,1,0,0,0,0.5
Discrete Diffusion Models Exploit Asymmetry to Solve Lookahead Planning Tasks,1,1,1,1,0,1,0.5,0.5
Plan for Speed: Dilated Scheduling for Masked Diffusion Language Models,1,1,1,1,0,0,1,0.5
Diffusion-NAT: Self-Prompting Discrete Diffusion for Non-Autoregressive Text Generation,1,1,0.5,1,0,0,0.5,0.5
Sketch-guided Image Inpainting with Partial Discrete Diffusion Process,1,1,0.5,1,0,0,0.5,0.5
Inference-Time Scaling of Diffusion Language Models via Trajectory Refinement,1,1,1,0.5,0,0,0.5,0.5
Breaking AR's Sampling Bottleneck: Provable Acceleration via Diffusion Language Models,1,1,0.5,0.5,0,1,0,0.5
Layout-Corrector: Alleviating Layout Sticking Phenomenon in Discrete Diffusion Model,1,1,0.5,1,0,1,0.5,0.5
DLM-One: Diffusion Language Models for One-Step Sequence Generation,1,1,0.5,1,0,0,1,0.5
DiffuSIA: A Spiral Interaction Architecture for Encoder-Decoder Text Diffusion,1,1,0.5,1,0,0,1,0.5
Tuning the Implicit Regularizer of Masked Diffusion Language Models: Enhancing Generalization via Insights from $k$-Parity,1,1,1,0.5,0,0,1,0.5
Ultra-Fast Language Generation via Discrete Diffusion Divergence Instruct,1,1,1,1,0,0,0.5,0.5
$S^3$: Stratified Scaling Search for Test-Time in Diffusion Language Models,1,1,1,1,0,0,0,0.5
Learning Generation Orders for Masked Discrete Diffusion Models via Variational Inference,1,1,0.5,1,0,0,0.5,0.5
Steering Masked Discrete Diffusion Models via Discrete Denoising Posterior Prediction,1,1,0.5,1,0,0,1,0.5
Tree Reward-Aligned Search for TReASURe in Masked Diffusion Language Models,1,1,0.5,0.5,0,1,0.5,0.5
T$^\star$: Progressive Block Scaling for Masked Diffusion Language Models Through Trajectory Aware Reinforcement Learning,1,1,0.5,1,0,0,0.5,0.5
Enhancing Phrase Representation by Information Bottleneck Guided Text Diffusion Process for Keyphrase Extraction,1,0.5,0.5,1,0,0,0,0.5
D3LM: A Discrete DNA Diffusion Language Model for Bidirectional DNA Understanding and Generation,1,1,0.5,1,0,0,0.5,0.5
UDM-GRPO: Stable and Efficient Group Relative Policy Optimization for Uniform Discrete Diffusion Models,1,1,0.5,1,0,0,1,0.5
Window-Diffusion: Accelerating Diffusion Language Model Inference with Windowed Token Pruning and Caching,1,1,0.5,1,0,0,0.5,0.5
Don't Settle Too Early: Self-Reflective Remasking for Diffusion Language Models,1,1,0.5,1,0,1,0.5,0.5
Absorb and Converge: Provable Convergence Guarantee for Absorbing Discrete Diffusion Models,1,1,1,0.5,0,1,0.5,0.5
Entering the Era of Discrete Diffusion Models: A Benchmark for Schrödinger Bridges and Entropic Optimal Transport,1,1,0.5,1,0,0,0.5,0.5
"Parallelism and Generation Order in Masked Diffusion Language Models: Limits Today, Potential Tomorrow",1,1,0.5,1,0,1,0.5,0.5
MDM-Prime-v2: Binary Encoding and Index Shuffling Enable Compute-optimal Scaling of Diffusion Language Models,1,1,0.5,0.5,0,0,1,0.5
Self-Rewarding Sequential Monte Carlo for Masked Diffusion Language Models,1,1,1,1,0,0,0.5,0.5
Neural Continuous-Time Markov Chain: Discrete Diffusion via Decoupled Jump Timing and Direction,1,1,0.5,1,0,0,0.5,0.5
Not All Denoising Steps Are Equal: Model Scheduling for Faster Masked Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
Derivative-Free Guidance in Continuous and Discrete Diffusion Models with Soft Value-Based Decoding,1,1,0.5,1,0,0,0.5,0.5
Backdooring Masked Diffusion Language Models,1,1,0.5,0.5,0,0,0.5,0.5
Improving Text Style Transfer using Masked Diffusion Language Models with Inference-time Scaling,1,1,0.5,1,0,0,1,0.5
Where-to-Unmask: Ground-Truth-Guided Unmasking Order Learning for Masked Diffusion Language Models,1,1,1,1,0,1,0.5,0.5
Exploring the effectiveness of ChatGPT-based feedback compared with teacher feedback and self-feedback: Evidence from Chinese to English translation,1,0.5,0.5,0.5,0,1,0,0.5
LogicDiff: Logic-Guided Denoising Improves Zero-Shot Reasoning in Masked Diffusion Language Models,1,1,0.5,0.5,0,0,0.5,0.5
DPRM: A Plug-in Doob h transform-induced Token-Ordering Module for Diffusion Language Models,1,1,1,1,0,1,1,0.5
Thinking Out of Order: When Output Order Stops Reflecting Reasoning Order in Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
Causal Autoregressive Diffusion Language Model,1,1,0.5,0.5,0,0,0.5,0.5
Taming Masked Diffusion Language Models via Consistency Trajectory Reinforcement Learning with Fewer Decoding Step,1,1,0.5,1,0,1,1,0.5
On the Trainability of Masked Diffusion Language Models via Blockwise Locality,1,1,0.5,0.5,0,0,0.5,0.5
MoTe: Learning Motion-Text Diffusion Model for Multiple Generation Tasks,1,1,0.5,1,0,0,0,0.5
